,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
8887,2025,4,FT,Data Engineer,190000,US,100,US,2
8888,2025,3,FT,Machine Learning Engineer,236500,US,0,US,2
8889,2025,3,FT,Machine Learning Engineer,172000,US,0,US,2
8890,2025,1,FT,Analyst,120314,GB,0,GB,2
8891,2025,1,FT,Analyst,103939,GB,0,GB,2
8892,2025,2,FT,Data Scientist,174000,US,0,US,2
8898,2025,3,FT,Data Scientist,184000,CA,0,CA,2
8899,2025,3,FT,Data Scientist,136000,CA,0,CA,2
8900,2025,3,FT,AI Engineer,286600,US,0,US,2
8901,2025,3,FT,AI Engineer,153600,US,0,US,2
8902,2025,3,FT,Data Specialist,28649,PH,0,PH,2
8903,2025,3,FT,Data Specialist,24556,PH,0,PH,2
8904,2025,2,FT,Data Product Manager,175000,US,100,US,2
8905,2025,2,FT,Data Product Manager,149000,US,100,US,2
8906,2025,3,FT,Analyst,149000,US,100,US,2
8907,2025,3,FT,Analyst,82800,US,100,US,2
8908,2025,3,FT,Software Engineer,225900,US,0,US,2
8909,2025,3,FT,Software Engineer,177600,US,0,US,2
8910,2025,1,FT,Machine Learning Engineer,122000,US,0,US,2
8911,2025,1,FT,Machine Learning Engineer,90000,US,0,US,2
8914,2025,3,FT,Data Analytics Manager,200000,US,100,US,2
8915,2025,3,FT,Data Analytics Manager,108800,US,100,US,2
8916,2025,3,FT,Product Manager,385000,US,100,US,2
8917,2025,3,FT,Product Manager,300000,US,100,US,2
8918,2025,2,FT,Data Integration Specialist,105000,US,0,US,2
8919,2025,2,FT,Data Integration Specialist,70000,US,0,US,2
8921,2025,2,FT,DevOps Engineer,100000,US,0,US,2
8922,2025,2,FT,Engineer,231000,US,0,US,2
8923,2025,2,FT,Engineer,118000,US,0,US,2
8924,2025,2,FT,Technical Support Engineer,115000,US,0,US,2
8925,2025,2,FT,Technical Support Engineer,110000,US,0,US,2
8926,2025,3,FT,Site Reliability Engineer,265000,US,0,US,2
8928,2025,3,FT,Software Engineer,206605,US,100,US,2
8929,2025,3,FT,Software Engineer,179657,US,100,US,2
8932,2025,3,FT,Software Engineer,209999,US,100,US,2
8934,2025,3,FT,Analyst,167500,US,0,US,2
8936,2025,3,FT,Engineer,188000,US,100,US,2
8945,2025,3,FT,Engineer,165000,US,100,US,2
8946,2025,3,FT,Analyst,229100,US,100,US,2
8947,2025,3,FT,Analyst,127300,US,100,US,2
8948,2025,3,FT,Technical Lead,256000,CA,100,CA,2
8949,2025,3,FT,Technical Lead,183000,CA,100,CA,2
8950,2025,3,FT,Software Engineer,229100,US,100,US,2
8951,2025,3,FT,Software Engineer,127300,US,100,US,2
8952,2025,2,FT,Engineer,50632,GB,0,GB,2
8953,2025,2,FT,Engineer,37974,GB,0,GB,2
8954,2025,2,FT,Software Engineer,184700,US,100,US,2
8955,2025,2,FT,Software Engineer,102600,US,100,US,2
8960,2025,3,FT,Engineer,161800,US,0,US,2
8961,2025,3,FT,Engineer,107800,US,0,US,2
8962,2025,3,FT,Other,103157,LV,100,LV,2
8965,2025,3,FT,Machine Learning Engineer,378700,US,0,US,2
8966,2025,3,FT,Machine Learning Engineer,207800,US,0,US,2
8968,2025,3,FT,Machine Learning Engineer,197400,US,0,US,2
8979,2025,2,FT,Data Analyst,20463,PH,100,PH,2
8980,2025,2,FT,Data Analyst,18417,PH,100,PH,2
8982,2025,3,FT,Data Scientist,100000,US,0,US,2
8984,2025,2,FT,AI Engineer,80000,US,100,US,2
8985,2025,2,FT,AI Engineer,140000,US,0,US,2
8986,2025,2,FT,AI Engineer,100000,US,0,US,2
8994,2025,3,FT,Data Engineer,155000,US,100,US,2
8995,2025,1,FT,Data Analyst,30526,ES,0,ES,2
8996,2025,1,FT,Data Analyst,26315,ES,0,ES,2
8997,2025,2,FT,Manager,168130,AU,0,AU,2
8998,2025,2,FT,Manager,145378,AU,0,AU,2
8999,2025,1,FT,Data Engineer,56708,FR,0,FR,2
9001,2025,3,FT,Architect,170428,CA,0,CA,2
9002,2025,3,FT,Architect,100285,CA,0,CA,2
9003,2025,1,FT,Analyst,160000,US,0,US,2
9005,2025,2,FT,Manager,176645,US,100,US,2
9006,2025,2,FT,Manager,112160,US,100,US,2
9007,2025,2,FT,Manager,259000,US,0,US,2
9008,2025,2,FT,Manager,124300,US,0,US,2
9009,2025,4,FT,Head of AI,142842,DE,0,DE,2
9010,2025,4,FT,Head of AI,114315,DE,0,DE,2
9011,2025,2,FT,Data Engineer,121800,CA,0,CA,2
9012,2025,2,FT,Data Engineer,65400,CA,0,CA,2
9017,2025,2,FT,Manager,194600,CA,0,CA,2
9018,2025,2,FT,Manager,129800,CA,0,CA,2
9019,2025,3,FT,Data Scientist,149500,US,0,US,2
9020,2025,3,FT,Data Scientist,121680,US,0,US,2
9023,2025,4,FT,Manager,212160,US,0,US,2
9024,2025,4,FT,Manager,141440,US,0,US,2
9026,2025,2,FT,Quantitative Developer,125000,US,0,US,2
9027,2025,3,FT,Manager,230000,US,0,US,2
9029,2025,2,FT,Data Engineer,172400,US,100,US,2
9030,2025,2,FT,Data Engineer,82100,US,100,US,2
9031,2025,3,FT,Machine Learning Engineer,184140,US,0,US,2
9032,2025,3,FT,Machine Learning Engineer,111780,US,0,US,2
9037,2025,3,FT,Data Management Analyst,130600,US,0,US,2
9038,2025,3,FT,Data Management Analyst,70600,US,0,US,2
9039,2025,2,FT,Software Engineer,161881,US,100,US,2
9040,2025,2,FT,Software Engineer,92144,US,100,US,2
9041,2025,4,FT,Software Engineer,273800,US,0,US,2
9043,2025,3,FT,Data Governance,140000,US,100,US,2
9044,2025,3,FT,Data Governance,135000,US,100,US,2
9045,2025,3,FT,Developer,170000,US,0,US,2
9046,2025,3,FT,Developer,120000,US,0,US,2
9049,2025,3,FT,Data Engineer,174400,CA,0,CA,2
9050,2025,3,FT,Data Engineer,159000,CA,0,CA,2
9051,2025,3,FT,Data Engineer,174400,US,100,US,2
9052,2025,3,FT,Data Engineer,159000,US,100,US,2
9053,2025,4,FT,Data Engineer,275800,US,0,US,2
9054,2025,4,FT,Data Engineer,183800,US,0,US,2
9057,2025,2,FT,BI Engineer,127600,US,0,US,3
9058,2025,2,FT,BI Engineer,76400,US,0,US,3
9061,2025,1,FT,Data Analyst,85543,US,100,US,2
9062,2025,1,FT,Data Analyst,57029,US,100,US,2
9063,2025,1,FT,Data Analyst,96500,US,0,US,2
9064,2025,1,FT,Data Analyst,86850,US,0,US,2
9065,2025,3,FT,Manager,227900,US,0,US,2
9066,2025,3,FT,Manager,148300,US,0,US,2
